Date,Open,High,Low,Close,Volume,Code
2018-02-08,51.439999,51.459999,48.509998,48.599998,5995100,AAL
2018-02-09,49.700001,49.730000,46.330002,48.360001,6837800,AAL
2018-02-12,48.790001,50.509998,48.650002,50.090000,5437800,AAL
2018-02-13,49.700001,50.919998,49.639999,50.869999,3758000,AAL
2018-02-14,50.240002,51.560001,50.110001,51.070000,4983200,AAL
2018-02-15,51.450001,51.880001,50.939999,51.669998,3140800,AAL
2018-02-16,51.799999,52.209999,51.529999,51.580002,3891300,AAL
2018-02-20,51.230000,52.230000,51.099998,51.720001,3379700,AAL
2018-02-21,51.959999,53.860001,51.830002,52.779999,5396700,AAL
2018-02-22,53.240002,53.410000,52.700001,52.980000,4356700,AAL
2018-02-23,53.299999,53.480000,52.720001,53.389999,3394700,AAL
2018-02-26,53.990002,55.130001,53.919998,55.000000,4962100,AAL
2018-02-27,54.889999,55.599998,54.240002,54.259998,4878400,AAL
2018-02-28,54.410000,54.599998,53.639999,54.250000,4343800,AAL
2018-03-01,54.139999,55.310001,53.299999,53.480000,5895600,AAL
2018-03-02,52.900002,53.419998,51.869999,53.180000,4918200,AAL
2018-03-05,52.900002,53.689999,52.689999,53.189999,3974800,AAL
2018-03-06,53.340000,54.020000,52.900002,53.570000,4273800,AAL
2018-03-07,53.119999,54.169998,53.040001,54.110001,3216900,AAL
2018-03-08,54.330002,55.689999,54.279999,54.790001,4189500,AAL
2018-03-09,55.049999,56.080002,54.650002,56.070000,3468900,AAL
2018-03-12,56.259998,56.970001,55.630001,56.500000,3256400,AAL
2018-03-13,56.860001,57.439999,56.029999,56.230000,4361800,AAL
2018-03-14,56.570000,57.209999,55.160000,55.279999,4267000,AAL
2018-03-15,55.349998,55.560001,54.930000,55.169998,2980500,AAL
2018-03-16,55.310001,56.410000,55.270000,55.400002,4574400,AAL
2018-03-19,55.330002,55.689999,54.189999,54.619999,3834300,AAL
2018-03-20,54.930000,55.700001,54.669998,55.320000,2555600,AAL
2018-03-21,54.209999,54.610001,53.169998,54.090000,4811600,AAL
2018-03-22,53.580002,54.180000,52.290001,52.310001,4871300,AAL
2018-03-23,52.630001,53.099998,50.990002,51.009998,3966000,AAL
2018-03-26,51.939999,52.040001,50.639999,51.860001,3210500,AAL
2018-03-27,52.299999,52.349998,50.549999,50.900002,2940700,AAL
2018-03-28,50.900002,51.259998,50.049999,50.849998,4177500,AAL
2018-03-29,51.299999,52.430000,51.029999,51.959999,3074100,AAL
2018-04-02,51.770000,51.950001,48.959999,49.779999,4185800,AAL
2018-04-03,50.230000,51.549999,49.570000,51.470001,3863300,AAL
2018-04-04,50.599998,52.099998,50.509998,52.040001,3955000,AAL
2018-04-05,52.500000,53.080002,51.830002,52.139999,3060900,AAL
2018-04-06,51.709999,51.959999,49.810001,50.290001,4302600,AAL
2018-04-09,50.500000,50.860001,49.740002,49.820000,4330100,AAL
2018-04-10,50.520000,50.570000,47.209999,47.459999,12805000,AAL
2018-04-11,47.150002,47.459999,45.369999,45.400002,10151100,AAL
2018-04-12,46.029999,46.799999,45.509998,46.570000,7040400,AAL
2018-04-13,46.750000,47.049999,45.750000,45.869999,5226300,AAL
2018-04-16,46.130001,46.939999,45.810001,46.400002,4516300,AAL
2018-04-17,46.750000,47.029999,45.619999,45.750000,6961100,AAL
2018-04-18,46.500000,48.380001,46.049999,47.759998,9170700,AAL
2018-04-19,47.529999,47.770000,46.410000,46.880001,5759300,AAL
2018-04-20,46.910000,47.240002,46.439999,46.779999,5344700,AAL
2018-04-23,46.849998,47.189999,46.119999,46.680000,4221700,AAL
2018-04-24,46.720001,47.169998,45.110001,45.689999,3954300,AAL
2018-04-25,45.669998,45.930000,43.889999,45.250000,7847600,AAL
2018-04-26,43.490002,43.799999,40.650002,42.369999,20517300,AAL
2018-04-27,42.549999,43.480000,42.330002,43.400002,6955200,AAL
2018-04-30,43.500000,43.810001,42.759998,42.930000,6472900,AAL
2018-05-01,42.860001,43.459999,42.560001,43.360001,5341200,AAL
2018-05-02,43.230000,43.410000,42.189999,42.240002,6314400,AAL
2018-05-03,42.250000,42.490002,41.540001,42.110001,4700500,AAL
2018-05-04,41.750000,43.450001,41.750000,42.860001,5540900,AAL
2018-05-07,42.919998,43.230000,42.119999,42.439999,5331000,AAL
2018-05-08,42.330002,44.009998,42.330002,43.000000,7766600,AAL
2018-05-09,42.930000,43.160000,41.470001,41.500000,8273700,AAL
2018-05-10,41.509998,42.459999,41.509998,42.040001,7931600,AAL
2018-05-11,42.080002,42.660000,42.020000,42.599998,6066700,AAL
2018-05-14,42.750000,43.090000,42.200001,42.459999,4201600,AAL
2018-05-15,42.020000,43.400002,41.599998,43.189999,6909600,AAL
2018-05-16,43.130001,44.910000,43.040001,44.060001,7493600,AAL
2018-05-17,43.900002,44.509998,43.490002,43.630001,5334100,AAL
2018-05-18,43.560001,43.759998,43.040001,43.380001,4216100,AAL
2018-05-21,43.740002,44.790001,43.630001,44.279999,4930200,AAL
2018-05-22,44.500000,45.040001,42.830002,42.880001,6892400,AAL
2018-05-23,42.639999,42.869999,42.270000,42.799999,3915900,AAL
2018-05-24,42.939999,43.889999,42.759998,43.560001,3855300,AAL
2018-05-25,43.820000,45.820000,43.799999,44.910000,6517300,AAL
2018-05-29,44.599998,45.150002,43.220001,43.590000,4531800,AAL
2018-05-30,43.680000,43.830002,42.660000,43.299999,5457900,AAL
2018-05-31,43.400002,44.709999,42.970001,43.540001,8540100,AAL
2018-06-01,44.049999,44.090000,43.349998,44.000000,5472300,AAL
2018-06-04,44.040001,45.009998,43.959999,44.860001,5685200,AAL
2018-06-05,44.779999,45.020000,43.810001,44.180000,4975300,AAL
2018-06-06,43.450001,44.230000,42.880001,44.189999,6502500,AAL
2018-06-07,44.279999,44.480000,43.450001,43.840000,3729000,AAL
2018-06-08,43.959999,43.970001,42.959999,43.110001,6273000,AAL
2018-06-11,43.250000,44.930000,43.250000,44.160000,6440700,AAL
2018-06-12,44.230000,44.299999,43.090000,43.410000,5204600,AAL
2018-06-13,43.389999,43.689999,42.830002,42.919998,5989000,AAL
2018-06-14,43.060001,43.490002,42.799999,43.080002,4019300,AAL
2018-06-15,43.060001,43.110001,42.320000,42.770000,7032000,AAL
2018-06-18,42.630001,42.680000,41.939999,42.439999,5372100,AAL
2018-06-19,42.029999,42.209999,41.090000,41.509998,5575300,AAL
2018-06-20,41.650002,42.340000,41.349998,42.029999,4930600,AAL
2018-06-21,42.029999,42.500000,41.369999,41.490002,5025300,AAL
2018-06-22,41.459999,42.410000,41.020000,41.349998,9115100,AAL
2018-06-25,41.090000,41.270000,39.290001,39.680000,7126400,AAL
2018-06-26,39.869999,39.959999,38.990002,39.090000,6037400,AAL
2018-06-27,39.090000,39.180000,38.250000,38.259998,7391600,AAL
2018-06-28,38.330002,38.529999,37.060001,38.200001,7909700,AAL
2018-06-29,38.250000,38.750000,37.820000,37.959999,6032100,AAL
2018-07-02,37.740002,38.400002,37.439999,38.360001,3363500,AAL
2018-07-03,37.639999,38.330002,36.759998,37.750000,5645300,AAL
2018-07-05,37.849998,38.180000,37.520000,37.990002,6181500,AAL
2018-07-06,38.189999,38.389999,37.759998,38.090000,3695000,AAL
2018-07-09,38.209999,39.410000,38.070000,39.310001,4530400,AAL
2018-07-10,39.380001,39.400002,38.500000,39.119999,4910000,AAL
