Date,Open,High,Low,Close,Volume,Code
2018-02-08,5.847000,5.880500,5.437750,5.438000,1144000000,NVDA
2018-02-09,5.956250,5.972250,5.438000,5.802000,1674604000,NVDA
2018-02-12,5.884000,5.887000,5.625750,5.700750,1093172000,NVDA
2018-02-13,5.664000,5.862500,5.631250,5.815750,625524000,NVDA
2018-02-14,5.775000,6.064750,5.763750,6.035500,744988000,NVDA
2018-02-15,6.119750,6.209250,6.038000,6.162500,698900000,NVDA
2018-02-16,6.135000,6.250000,6.086750,6.096000,637656000,NVDA
2018-02-20,6.118750,6.296750,6.115000,6.227000,686240000,NVDA
2018-02-21,6.292250,6.299250,6.034000,6.037750,892292000,NVDA
2018-02-22,6.068250,6.140750,5.987500,6.053750,534364000,NVDA
2018-02-23,6.114250,6.148250,6.063000,6.148250,415300000,NVDA
2018-02-26,6.195000,6.199500,6.101500,6.164500,469312000,NVDA
2018-02-27,6.137500,6.222750,6.128250,6.151500,455436000,NVDA
2018-02-28,6.162500,6.202500,6.038250,6.050000,523116000,NVDA
2018-03-01,6.047750,6.102250,5.703000,5.805250,1040120000,NVDA
2018-03-02,5.696500,5.920000,5.546250,5.913500,913428000,NVDA
2018-03-05,5.862750,5.931250,5.738000,5.891250,620776000,NVDA
2018-03-06,5.977500,6.073500,5.934000,6.054000,636808000,NVDA
2018-03-07,5.950000,6.098750,5.948750,6.046000,581208000,NVDA
2018-03-08,6.073750,6.073750,5.984750,6.029500,411912000,NVDA
2018-03-09,6.077500,6.146250,6.061250,6.133250,505524000,NVDA
2018-03-12,6.175000,6.325000,6.166750,6.244000,605060000,NVDA
2018-03-13,6.287250,6.362500,6.151000,6.192750,619772000,NVDA
2018-03-14,6.236250,6.263750,6.155500,6.218500,505496000,NVDA
2018-03-15,6.232250,6.315500,6.191000,6.233500,401952000,NVDA
2018-03-16,6.250000,6.281250,6.212000,6.262000,399456000,NVDA
2018-03-19,6.204500,6.233750,5.925000,6.025000,713772000,NVDA
2018-03-20,6.028000,6.278750,6.028000,6.239500,554696000,NVDA
2018-03-21,6.233000,6.300000,6.183250,6.214000,438688000,NVDA
2018-03-22,6.150000,6.197000,6.008500,6.046250,551196000,NVDA
2018-03-23,6.060000,6.062500,5.813000,5.824250,735620000,NVDA
2018-03-26,5.950000,6.113250,5.897500,6.112000,611424000,NVDA
2018-03-27,6.193750,6.250000,5.496250,5.638000,1409000000,NVDA
2018-03-28,5.603250,5.734750,5.425000,5.533750,945904000,NVDA
2018-03-29,5.602750,5.887500,5.517500,5.789750,916628000,NVDA
2018-04-02,5.718500,5.866250,5.437500,5.526250,922092000,NVDA
2018-04-03,5.695000,5.758750,5.533750,5.633750,667432000,NVDA
2018-04-04,5.375250,5.666500,5.350000,5.656000,789168000,NVDA
